216001;08;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-05-31;2021-06-07;2021-06-22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
216002;08;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-05-31;2021-06-07;2021-06-22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
216003;08;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-05-31;2021-06-07;2021-06-22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
216004;08;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-05-31;2021-06-07;2021-06-22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
216005;08;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-05-31;2021-06-07;2021-06-22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
216006;08;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-05-31;2021-06-07;2021-06-22;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
216017;09;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-06-07;2021-06-14;2021-06-29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
216018;09;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-06-07;2021-06-14;2021-06-29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
216019;09;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-06-07;2021-06-14;2021-06-29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
216020;09;Ge01;2021;01 - Rurutu;En01;FUT;0;NULL;Non-réalisé;NULL;0;0;0;NULL;NULL;NULL;Grappe à venir;NULL;2021-06-07;2021-06-14;2021-06-29;NULL;NULL;NULL;NULL;NULL;NULL;NULL;En01;A côté de la mairie;Avera (Rurutu);NULL;NULL;NULL;NULL;0;NULL;1;0;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL
