En08;208000;1;C6a;Profession antérieure;APCLCA;MANOEUVRE;MANOEUVRE;RC*;676E - Ouvriers non qualifiés divers de type industriel;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;1;C8;Activité principale employeur;AACTIV;AQUACULTURE;AQUACULTURE;CCS;0321Z - Aquaculture en mer;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;4EME;4EME;CCS;79993;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;1;E12a;Activité principale année précédente;EACTIV;AQUACULTURE;AQUACULTURE;CCS;0321Z - Aquaculture en mer;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;1;E9a;Profession année dernière;EPCLCA;MANOEUVRE;MANOEUVRE;RC*;676E - Ouvriers non qualifiés divers de type industriel;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;1;G5a;Profession du père;FPCLCA;MANOEUVRE;MANOEUVRE;RC*;676E - Ouvriers non qualifiés divers de type industriel;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;2;BA10a;Profession principale;PCLCA;AQUACULTEUR;AQUACULTEUR;RC*;692A - Marins-pêcheurs et ouvriers de l'aquaculture;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;2;BA22b;Nom de l'employeur;NOMSOC;PUPUTAUKI DAVID;AQUACULTURE;-;-;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;2;BA22b;Nom de l'entreprise ou du patenté;NOMSOC;PUPUTAUKI DAVID;-;-;-;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;2;BA23a;Activité économique de l'entreprise / patente;ACTIV;AQUACULTURE;AQUACULTURE;CCS;0321Z - Aquaculture en mer;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;2;D38;Année d'études atteinte et diplôme préparé;NIVINTA;3EME;3EME;CCS;64000;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;2;G15a;Profession de la mère;MPCLCA;CANTINIERE;CANTINIERE;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;2;G5a;Profession du père;FPCLCA;AGENT COMMUNAL;AGENT COMMUNAL;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;3;BA10a;Profession principale;PCLCA;PLONGEUR;PLONGEUR;RC*;561D - Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;3;BA22b;Nom de l'employeur;NOMSOC;EMILE REHUA;AQUACULTURE;-;-;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;3;BA29;Nom de l'employeur;EMPL;EMILE REHUA;-;-;-;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;3;BA32a;Activité économique de l'établissement employeur;ACTIVA;AQUACULTURE;AQUACULTURE;CCS;0321Z - Aquaculture en mer;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;3;D38;Année d'études atteinte et diplôme préparé;NIVINTA;6EME;6EME;CCS;79992;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;3;E12a;Activité principale année précédente;EACTIV;AQUACULTURE;AQUACULTURE;CCS;0321Z - Aquaculture en mer;71;Gestionnaire 01;03;0;Enquêteur 08
En08;208000;3;E9a;Profession année dernière;EPCLCA;MANOEUVRE;MANOEUVRE;RC*;676E - Ouvriers non qualifiés divers de type industriel;71;Gestionnaire 01;03;0;Enquêteur 08
En07;208001;1;BA10a;Profession principale;PCLCA;AGENT COMMUNAL;AGENT COMMUNAL;RC*;525C - Agents de service de la fonction publique (sauf écoles, hôpitaux);67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;1;BA22b;Nom de l'employeur;NOMSOC;COMMUNE;COMMUNE;-;-;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;1;BA29;Nom de l'employeur;EMPL;COMMUNE;-;-;-;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;1;BA32a;Activité économique de l'établissement employeur;ACTIVA;COMMUNE;COMMUNE;CCS;8411Z - Administration publique générale;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;1;D20;Diplôme le plus élevé;DIPINTA;DNB;DNB;NULL;6400100a;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;1;D21;Spécialité du diplôme;DIPSCDA;FORMATION GENERALE;FORMATION GENERALE;-;0011;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;1;D38;Année d'études atteinte et diplôme préparé;NIVINTA;1ERE BAC PRO;1ERE BAC PRO;CCS;58884;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;1;E12a;Activité principale année précédente;EACTIV;COMMUNE;NULL;NULL;NULL;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;1;G5a;Profession du père;FPCLCA;MANOEUVRE;MANOEUVRE;RC*;676E - Ouvriers non qualifiés divers de type industriel;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;2;D20;Diplôme le plus élevé;DIPINTA;BEP;BEP;NULL;5100343t;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208001;2;D21;Spécialité du diplôme;DIPSCDA;BIOSERVICES;BIOSERVICES;-;1020;67;Gestionnaire 01;03;0;Enquêteur 07
En07;208002;1;BA10a;Profession principale;PCLCA;MANOEUVRE;MANOEUVRE;RC*;676E - Ouvriers non qualifiés divers de type industriel;63;Gestionnaire 01;03;0;Enquêteur 07
En07;208002;1;BA22b;Nom de l'employeur;NOMSOC;MANGAREVA ART;NULL;-;-;63;Gestionnaire 01;03;0;Enquêteur 07
En07;208002;1;BA29;Nom de l'employeur;EMPL;MANGAREVA ART;-;-;-;63;Gestionnaire 01;03;0;Enquêteur 07
En07;208002;1;C6a;Profession antérieure;APCLCA;MANOEUVRE;MANOEUVRE;RC*;676E - Ouvriers non qualifiés divers de type industriel;63;Gestionnaire 01;03;0;Enquêteur 07
En07;208002;1;D20;Diplôme le plus élevé;DIPINTA;CAP;CAP;NULL;5000221s;63;Gestionnaire 01;03;0;Enquêteur 07
En07;208002;1;D21;Spécialité du diplôme;DIPSCDA;HOTELLERIE CUISINE;HOTELLERIE CUISINE;-;1013;63;Gestionnaire 01;03;0;Enquêteur 07
En07;208002;1;E9a;Profession année dernière;EPCLCA;MANOEUVRE;MANOEUVRE;RC*;676E - Ouvriers non qualifiés divers de type industriel;63;Gestionnaire 01;03;0;Enquêteur 07
En07;208002;1;G15a;Profession de la mère;MPCLCA;AQUACULTRICE;AQUACULTRICE;RC*;692A - Marins-pêcheurs et ouvriers de l'aquaculture;63;Gestionnaire 01;03;0;Enquêteur 07
En07;208002;2;C6a;Profession antérieure;APCLCA;MANOEUVRE;MANOEUVRE;RC*;676E - Ouvriers non qualifiés divers de type industriel;63;Gestionnaire 01;03;0;Enquêteur 07
