Year;Site;Habitat;siteID;Taxonomy;Family;value
2005;1;Frangeant;1_FR;Crustose Coralline Algae / Bare Space;CCA_nu;42,7435714285714
2005;1;Frangeant;1_FR;Fungiidae unidentified;Corail;0,2375
2005;1;Frangeant;1_FR;Macroalgae;Algues_Gazon;3,14642857142857
2005;1;Frangeant;1_FR;Montipora;Corail;0,3
2005;1;Frangeant;1_FR;Pavona;Corail;0,1125
2005;1;Frangeant;1_FR;Porites;Corail;23,6
2005;1;Frangeant;1_FR;Sand;Sable;22,6114285714286
2005;1;Frangeant;1_FR;Turf;Algues_Gazon;7,75178571428572
2005;1;Pente externe 10m;1_FO10;Acropora;Corail;14,7169047619048
2005;1;Pente externe 10m;1_FO10;Astrea;Corail;0,474107142857143
2005;1;Pente externe 10m;1_FO10;Crustose Coralline Algae / Bare Space;CCA_nu;43,2120238095238
2005;1;Pente externe 10m;1_FO10;Cyphastrea;Corail;0,103571428571429
2005;1;Pente externe 10m;1_FO10;Fungiidae unidentified;Corail;0,19375
2005;1;Pente externe 10m;1_FO10;Leptastrea;Corail;0,99797619047619
2005;1;Pente externe 10m;1_FO10;Macroalgae;Algues_Gazon;7,78
2005;1;Pente externe 10m;1_FO10;Millepora;Corail;1,225
2005;1;Pente externe 10m;1_FO10;Montipora;Corail;0,34375
2005;1;Pente externe 10m;1_FO10;Pavona;Corail;0,368809523809524
2005;1;Pente externe 10m;1_FO10;Pocillopora;Corail;18,662380952381
2005;1;Pente externe 10m;1_FO10;Porites;Corail;10,2745238095238
2005;1;Pente externe 10m;1_FO10;Psammocora;Corail;0,2
2005;1;Pente externe 10m;1_FO10;Sand;Sable;1,91071428571429
2005;1;Pente externe 10m;1_FO10;Turf;Algues_Gazon;1,4002380952381
2005;1;Pente externe 17m;1_FO17;Acanthastrea;Corail;0,15
2005;1;Pente externe 17m;1_FO17;Acropora;Corail;9,02166666666667
2005;1;Pente externe 17m;1_FO17;Astrea;Corail;0,434375
2005;1;Pente externe 17m;1_FO17;Astreopora;Corail;0,225
2005;1;Pente externe 17m;1_FO17;Crustose Coralline Algae / Bare Space;CCA_nu;44,5208333333333
2005;1;Pente externe 17m;1_FO17;Cyphastrea;Corail;0,4375
2005;1;Pente externe 17m;1_FO17;Fungiidae unidentified;Corail;0,498958333333333
2005;1;Pente externe 17m;1_FO17;Goniastrea;Corail;0,075
2005;1;Pente externe 17m;1_FO17;Herpolitha;Corail;1,775
2005;1;Pente externe 17m;1_FO17;Leptastrea;Corail;3,17416666666667
2005;1;Pente externe 17m;1_FO17;Macroalgae;Algues_Gazon;0,24375
2005;1;Pente externe 17m;1_FO17;Millepora;Corail;4,63333333333333
2005;1;Pente externe 17m;1_FO17;Montipora;Corail;1,195
